Nationality,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brunei Darussalam,11154,11594,10536,13668,35874,38679,38679,16932,19078,18262,23695,23455,17279,19278,2701,144
Malaysia,699124,799990,1009722,1041053,1171737,1173351,1173351,1380686,1418256,1431728,1541197,2121888,2503344,2980753,980118,480723
Philippines,187711,192868,195675,196429,171181,210029,210029,247573,248182,267700,298910,308977,217874,260980,50413,9375
Singapore,1164082,1160200,1197267,1138071,1206360,1324839,1324839,1432060,1559044,1594102,1515699,1554119,1768744,1934445,280492,18704
Thailand,66864,71753,66012,93381,111645,115036,115036,125059,114272,118579,124569,138235,124153,136699,21303,3992
Vietnamese,17154,16392,19710,20785,24929,31106,31106,43249,48018,49845,60986,77466,75816,96024,19608,2008
Myanmar,20538,14413,17487,18128,15582,22304,22304,31001,33559,39923,44720,48133,28612,46381,12669,3093
Other Asean,4924,76333,16300,90861,221668,216474,216474,213602,195201,274302,207727,252373,717508,682630,154143,10187
Hong Kong,72033,63774,58260,63801,73658,84985,84985,95258,94560,93529,101369,98272,91182,50324,2625,2432
India,94258,123465,155391,156545,159373,181791,181791,231266,267082,306960,422045,536902,595636,657300,111724,6670
Japan,432989,517356,559888,488320,416151,423113,423113,497399,505175,528606,545392,573310,530573,519623,92228,5952
South Korea,298228,337246,331409,260314,296060,320596,320596,351154,352004,375586,386789,423191,358885,388316,75562,9497
Pakistan,7101,6822,7273,5880,5772,6598,6598,6281,7057,7570,10100,11424,13448,14663,4110,974
Bangladesh,7407,6390,6155,6347,5557,6394,6394,8132,13891,15790,39028,56503,56564,59777,12866,1001
Sri Lanka,8309,6591,6774,6715,6195,7019,7019,8288,8760,11190,24258,35669,32508,28907,4300,620
Taiwan,226611,218268,218146,204794,214192,228922,228922,247146,220328,223478,252849,264278,208317,207490,35680,1398
China,182341,269216,354641,444598,511188,594997,594997,858140,1052705,1249091,1556771,2093171,2139161,2072079,239768,54713
Timor Leste,0,0,0,0,0,0,0,0,0,0,0,960026,1762422,1178381,994590,819488
Other Asia,63544,111525,189253,55034,60410,71742,71742,93490,87911,123194,180544,67659,58625,68062,18584,2096
Saudi Arabia,27821,32164,42647,73000,94440,110908,110908,121890,151454,164643,197681,182086,165912,157512,31906,2053
Bahrain,213,615,891,746,832,879,879,1176,1608,1685,2243,2457,2324,2631,373,35
Kuwait,3717,2567,2160,5875,2729,4164,4164,7919,9281,8306,6368,5760,5551,5762,846,75
Egypt,2493,2616,3744,3316,3650,4469,4469,8091,10695,12972,19948,20345,18075,21354,4337,611
United Arab Emirates,2442,1889,2960,3871,4970,4720,4720,9891,12054,10315,9016,8387,7100,9065,1093,384
Yemen,4995,4324,3831,3522,5597,6729,6729,6851,7863,8715,9478,8453,10008,9221,2094,758
Qatar,1440,823,1155,6579,5076,4501,4501,1332,1648,1595,1856,1859,2104,1989,225,43
Other Middle East,8358,12034,16003,17026,25708,27127,27127,30289,21710,29330,45810,55022,55949,56389,8907,1680
Austria,16692,16275,16855,17399,16889,17374,17374,21645,20599,22458,24375,27208,29492,28476,4858,2103
Belgium,21869,20567,22854,25781,24493,24579,24579,34414,33601,38193,43607,48477,50050,46780,5902,798
Denmark,12382,13909,18434,20062,17565,19950,19950,22890,22577,27692,36380,43721,46825,45090,10533,557
France,108697,114094,129446,165656,160913,171736,171736,201917,208537,208679,256229,274117,287917,283814,43438,3776
German,106916,111512,142767,133032,144411,149110,149110,173470,184463,201202,243873,267823,274166,277653,46361,3429
Italy,40992,39135,40006,38028,39211,42256,42256,56705,62265,67892,79424,90022,94288,91229,13260,2339
Dutch,93147,111882,141202,154932,158957,163268,163268,161402,168494,172371,200811,210426,209978,215287,53495,12229
Spanish,29325,28738,30278,28200,30574,30657,30657,39383,47376,53115,68840,81690,85560,83373,11829,3255
Portugal,10303,12222,11368,11331,11629,13661,13661,18194,17675,22032,29286,33223,36804,35434,6245,476
Sweden,20478,20821,21806,22166,24603,26504,26504,29281,32308,37555,45934,51417,50381,56402,17600,3516
Switzerland,31920,30425,34024,39510,35334,38704,38704,43906,45567,51685,56700,61191,60293,57484,8362,782
English,137655,148756,184604,183262,192335,201221,201221,236794,244594,286806,352017,378131,392112,397624,69997,5177
Finland,9397,8517,9819,15591,11566,13137,13137,15074,15332,18564,21031,24447,27127,22665,6376,240
Norway,14121,14799,16468,16261,16226,17803,17803,18174,17253,18526,19478,22838,24906,23886,5072,336
Other Western Europe,49341,37472,22956,12243,18020,16553,16553,23392,25867,28053,35324,40211,35203,35272,6269,374
Russia,43167,51687,74483,77018,83836,96438,96438,99872,94345,72302,88520,117532,125728,158943,67491,8392
Other Eastern Europe,35658,62888,72484,67933,61981,67920,67920,88584,96699,112340,165316,201741,180081,216452,64091,8127
United States of America,129152,138266,174547,165098,177677,203205,203205,236375,246397,269062,316782,344766,387856,457832,91782,21962
Canada,43077,40466,45408,43948,48349,57129,57129,65385,68432,74212,86807,96139,97908,103616,23200,1242
Central America,10889,22757,9618,4587,881,1044,1044,1533,1835,3028,2538,7542,2629,2786,529,87
South America,12920,19241,20395,24037,21364,26193,26193,32752,36547,43750,55256,71915,62868,65630,15142,1450
Other America,0,0,0,0,7194,5735,5735,7528,8009,11882,14596,16669,17137,19039,3419,332
Australia,208205,287103,418899,571541,769585,933376,933376,983911,1145576,1090025,1302292,1256927,1301478,1386803,256291,3196
New Zealand,31508,39635,36291,37704,45335,52458,52458,67852,79380,86609,105393,106914,128366,149010,19947,482
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,141299,142648,78433,20975,31703
Other Oceania,9790,17877,13114,3114,4890,6597,6597,4934,5011,190302,164240,2794,2064,2987,573,123
south Africa,11632,13888,14958,12999,14287,16282,16282,16928,17375,22482,29223,38073,41962,47657,7350,572
Other Africa,16267,21599,18123,13638,14305,15369,15369,25679,27901,32963,45955,53126,46804,51262,9271,1769
