Year,Nationality,Amount
2006,Brunei Darussalam,11154
2006,Malaysia,699124
2006,Philippines,187711
2006,Singapore,1164082
2006,Thailand,66864
2006,Vietnamese,17154
2006,Myanmar,20538
2006,Other Asean,4924
2006,Hong Kong,72033
2006,India,94258
2006,Japan,432989
2006,South Korea,298228
2006,Pakistan,7101
2006,Bangladesh,7407
2006,Sri Lanka,8309
2006,Taiwan,226611
2006,China,182341
2006,Other Asia,63544
2006,Saudi Arabia,27821
2006,Bahrain,213
2006,Kuwait,3717
2006,Egypt,2493
2006,United Arab Emirates,2442
2006,Yemen,4995
2006,Qatar,1440
2006,Other Middle East,8358
2006,Austria,16692
2006,Belgium,21869
2006,Denmark,12382
2006,France,108697
2006,German,106916
2006,Italy,40992
2006,Dutch,93147
2006,Spanish,29325
2006,Portugal,10303
2006,Sweden,20478
2006,Switzerland,31920
2006,English,137655
2006,Finland,9397
2006,Norway,14121
2006,Other Western Europe,49341
2006,Russia,43167
2006,Other Eastern Europe,35658
2006,United States of America,129152
2006,Canada,43077
2006,Central America,10889
2006,South America,12920
2006,Australia,208205
2006,New Zealand,31508
2006,Other Oceania,9790
2006,south Africa,11632
2006,Other Africa,16267
2007,Brunei Darussalam,11594
2007,Malaysia,799990
2007,Philippines,192868
2007,Singapore,1160200
2007,Thailand,71753
2007,Vietnamese,16392
2007,Myanmar,14413
2007,Other Asean,76333
2007,Hong Kong,63774
2007,India,123465
2007,Japan,517356
2007,South Korea,337246
2007,Pakistan,6822
2007,Bangladesh,6390
2007,Sri Lanka,6591
2007,Taiwan,218268
2007,China,269216
2007,Other Asia,111525
2007,Saudi Arabia,32164
2007,Bahrain,615
2007,Kuwait,2567
2007,Egypt,2616
2007,United Arab Emirates,1889
2007,Yemen,4324
2007,Qatar,823
2007,Other Middle East,12034
2007,Austria,16275
2007,Belgium,20567
2007,Denmark,13909
2007,France,114094
2007,German,111512
2007,Italy,39135
2007,Dutch,111882
2007,Spanish,28738
2007,Portugal,12222
2007,Sweden,20821
2007,Switzerland,30425
2007,English,148756
2007,Finland,8517
2007,Norway,14799
2007,Other Western Europe,37472
